iter	RMSE
124	4.343219408
125	4.342938604
126	4.342378907
127	4.341290427
128	4.340596374
129	4.339872526
130	4.339355264
131	4.338832336
132	4.338229789
133	4.337537024
134	4.336724989
135	4.336193632
136	4.335428822
137	4.335110714
138	4.334487327
139	4.333772648
140	4.333446107
141	4.333141168
142	4.33268527
143	4.332051758
144	4.331925078
145	4.331104271
146	4.330387745
147	4.329818952
148	4.328686627
149	4.327897731
150	4.32712646
151	4.326791688
152	4.326468601
153	4.326194685
154	4.325466902
155	4.324800905
156	4.324281179
157	4.323134071
158	4.322661218
159	4.322246608
160	4.322143973
161	4.321242141
162	4.32103023
163	4.320213605
164	4.319880447
165	4.319617728
166	4.319514341
167	4.318786672
168	4.31835719
169	4.317869959
170	4.317628867
171	4.317324607
172	4.317102299
173	4.316512771
174	4.315487202
175	4.315475791
176	4.314644762
177	4.313800964
178	4.313046963
179	4.312425006
180	4.312068979
181	4.311746643
182	4.31136276
183	4.310670087
184	4.310487218
185	4.310004311
186	4.310003601
187	4.309533923
188	4.3090656
189	4.308440131
190	4.307968444
191	4.30707061
192	4.306520649
193	4.306082081
194	4.30524697
195	4.304748481
196	4.304364687
197	4.303574954
198	4.303112721
199	4.302578775
200	4.302578163
201	4.302164993
202	4.302133477
203	4.302133474
204	4.301604081
205	4.301182459
206	4.300331744
207	4.299956858
208	4.299259907
209	4.29912023
210	4.298414464
211	4.298079924
212	4.29803288
213	4.297637848
214	4.297127707
215	4.296772223
216	4.296280636
217	4.295917372
218	4.295325981
219	4.295058469
220	4.294483432
221	4.294313736
222	4.293572658
223	4.293257832
224	4.292631926
225	4.292375455
226	4.291953458
227	4.291496876
228	4.291487302
229	4.29145807
230	4.290766592
231	4.290401199
232	4.290290485
233	4.289661974
234	4.289642976
235	4.289215357
236	4.289215356
237	4.289018687
238	4.288989141
239	4.288514085
240	4.288206862
241	4.287777323
242	4.287352866
243	4.286755262
244	4.286078458
245	4.285767926
246	4.285629823
247	4.285193217
248	4.284164343
249	4.28352202
250	4.282879196
251	4.282711764
252	4.2816602
253	4.281610739
254	4.281042153
255	4.280713033
256	4.280310743
257	4.280022917
258	4.279705977
259	4.27933644
260	4.278984064
261	4.278499131
262	4.277759883
263	4.277169872
264	4.277065591
265	4.276140135
266	4.275687943
267	4.275288206
268	4.274864258
269	4.27448514
270	4.27435457
271	4.2739031
272	4.273197222
273	4.272756509
274	4.272421835
275	4.271940771
276	4.271812466
277	4.270975496
278	4.270223717
279	4.269985249
280	4.269621631
281	4.269057673
282	4.268391417
283	4.267934713
284	4.267757229
285	4.267697549
286	4.267107733
287	4.266770662
288	4.266290681
289	4.265866946
290	4.265425748
291	4.264946724
292	4.264107902
293	4.263854156
294	4.263156893
295	4.262614902
296	4.262219828
297	4.261760855
298	4.261380671
299	4.260679039
300	4.260013345
301	4.25927055
302	4.258855881
303	4.257976315
304	4.257592792
305	4.257388232
306	4.256265956
307	4.2555427
308	4.254910936
309	4.254603455
310	4.254160931
311	4.252942563
312	4.252422989
313	4.251462341
314	4.251341105
315	4.250632078
316	4.250076138
317	4.248910071
318	4.248429566
319	4.248079201
320	4.247717949
321	4.247037571
322	4.246533632
323	4.246114936
324	4.245547535
325	4.245491496
326	4.245151768
327	4.2445234
328	4.243798699
329	4.243573009
330	4.242949082
331	4.242414331
332	4.242107453
333	4.24197276
334	4.24165607
335	4.240464975
336	4.239455997
337	4.238663738
338	4.238434262
339	4.237915187
340	4.237411482
341	4.237177276
342	4.236498376
343	4.235984536
344	4.235282624
345	4.234863357
346	4.234585278
347	4.234216602
348	4.233669658
349	4.233140582
350	4.232903364
351	4.232467524
352	4.232038305
353	4.231389717
354	4.230685184
355	4.230362241
356	4.229928019
357	4.229208177
358	4.228639354
359	4.228236192
360	4.227852318
361	4.227304456
362	4.226211025
363	4.225942837
364	4.225490105
365	4.225078075
366	4.224434291
367	4.22416929
368	4.222917582
369	4.222050637
370	4.221646135
371	4.221298597
372	4.220685198
373	4.22027735
374	4.219813122
375	4.219701521
376	4.219436352
377	4.219260653
378	4.218634707
379	4.218035792
380	4.217190362
381	4.216809309
382	4.216450924
383	4.215949427
384	4.215000563
385	4.214455659
386	4.214052247
387	4.213624708
388	4.213009814
389	4.212554571
390	4.212216571
391	4.211983853
392	4.210992216
393	4.210658986
394	4.210137971
395	4.209997119
396	4.209691581
397	4.209434022
398	4.209078102
399	4.208550354
400	4.208266212
401	4.207844779
402	4.207058578
403	4.206705129
404	4.206352381
405	4.205747267
406	4.205321661
407	4.204605128
408	4.204156984
409	4.203817849
410	4.20264161
411	4.20241722
412	4.20167136
413	4.201337682
414	4.200790888
415	4.20059765
416	4.200165661
417	4.199707441
418	4.199125127
419	4.198086061
420	4.197607156
421	4.19691768
422	4.196729654
423	4.195813952
424	4.19546496
425	4.195202983
426	4.19444149
427	4.193488245
428	4.192699321
429	4.191657224
430	4.190994264
431	4.1908902
432	4.190546825
433	4.190118173
434	4.190070766
435	4.190010781
436	4.189195407
437	4.188709039
438	4.188414042
439	4.187894729
440	4.187567278
441	4.187046627
442	4.186768593
443	4.185707795
444	4.184762448
445	4.18450897
446	4.184260605
447	4.183912137
448	4.183435767
449	4.183279901
450	4.182522389
451	4.182233161
452	4.18189447
453	4.181220879
454	4.180621394
455	4.180274185
456	4.17964102
457	4.179124981
458	4.178132446
459	4.177613429
460	4.176649457
461	4.176028961
462	4.175586014
463	4.174333758
464	4.17391561
465	4.173458594
466	4.173290671
467	4.172747702
468	4.171501544
469	4.171014851
470	4.170534727
471	4.169906237
472	4.169791119
473	4.169479716
474	4.169314495
475	4.168949225
476	4.168785822
477	4.168123423
478	4.167926437
479	4.167484345
480	4.166751991
481	4.166459081
482	4.166102872
483	4.165840498
484	4.165193566
485	4.164220992
486	4.163867501
487	4.163045568
488	4.16250415
489	4.162074145
490	4.161641289
491	4.161247689
492	4.16099978
493	4.160659847
494	4.160191342
495	4.159421123
496	4.1587093
497	4.158344646
498	4.157424191
499	4.157035837
